"Price"	"Name"
75990	"(CERTIFIED"
95990	"Ideapad"
54115	"HP"
78990	"HP"
57990	"Apple"
38980	"LENOVO"
30990	"ACER"
65440.25	"Dell"
87000	"DELL"
38990	"ASUS"
82861	"Lenovo"
72000	"Acer"
NA	"Dell"
NA	"Top"
28980	"Dell"
39980	"Dell"
21485	"Dell"
30990	"Acer"
65440.25	"Dell"
87000	"Top"
57990	"Lenovo"
51990	"HP"
23257	"Acer"
150165	"HP"
54682	"Dell"
89913	"HP"
30900	"HP"
98789	"LENOVO"
95499	"(CERTIFIED"
38990	"MSI"
82861	"HP"
72000	"Newest"
NA	"2017"
NA	"HP"
NA	"HP"
NA	"Lenovo"
NA	"Acer"
NA	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
38699	"HP"
29985	"DELL"
31500	"Asus"
56799	"Lenovo"
38999	"Reach"
60388	"HP"
62290	"HP"
82990	"Lenovo"
66000	"Inspiron"
38990	"LENOVO"
82861	"Reach"
72000	"Dell"
NA	"HP"
NA	"Omen"
NA	"Dell"
NA	"Dell"
NA	"Lenovo"
NA	"HP"
NA	"Dell"
NA	"HP"
NA	"Lenovo"
28980	"Dell"
39980	"Dell"
21485	"Dell"
194500	"MSI"
61426	"HP"
152125	"Dell"
23547	"Lenovo"
151021.9	"Microsoft"
60685	"Lenovo"
34099	"Lenovo"
48000	"Acer"
28700	"ACER"
38990	"Gigabyte"
82861	"Dell"
72000	"Acer"
NA	"iBall"
NA	"HP"
NA	"Dell"
NA	"Asus"
NA	"Dell"
NA	"Lenovo"
NA	"HP"
NA	"Dell"
NA	"Asus"
70900	""
36200	""
68499	""
104417.18	"HP"
86999	"Dell"
53213	"Dell"
28888	"Lenovo"
40000	"Dell"
53400	"Dell"
24680	"Dell"
NA	"Acer"
NA	"ASUS"
NA	"Dell"
NA	"Lenovo-20H1A056IG6thGen"
NA	"HP"
NA	"Lenovo"
NA	"Dell"
NA	"HP"
NA	"Lenovo"
NA	"Acer"
NA	"Acer"
NA	"Lenovo"
NA	"Samsung"
NA	"Dell"
28980	"Dell"
39980	"Dell"
21485	"Dell"
24680	"Lenovo"
37999	"Samsung"
39281	"Dell"
67499	"HP"
91735	"HP"
31400	"Lenovo"
90305.32	"Lenovo"
149000	"Lenovo"
42990	"Acer"
38990	"Flagship"
82861	"Dell"
72000	"Dell"
NA	"Dell"
NA	"HP"
NA	"Dell"
NA	"Dell"
NA	"Dell"
NA	"ASUS"
NA	"Dell"
NA	"HP"
NA	"Smartron"
28980	"Dell"
39980	"Dell"
21485	"Dell"
51297	"Microsoft"
52390	"(CERTIFIED"
73395	"Lenovo"
23990	"i3-7100U"
80000	"Lenovo"
22222	"Lenovo"
145999	"Lenovo"
33990	"HP"
45700	"Micromax"
38990	"ASUS"
82861	"Lenovo"
72000	"Acer"
NA	"HP"
NA	"Lenovo"
NA	"HP"
NA	"Dell"
NA	"HP"
NA	"Lenovo"
NA	"DELL"
NA	"Acer"
NA	"Acer"
28980	"Dell"
39980	"Dell"
21485	"Dell"
46200	"Lenovo"
62728	"Dell"
152162	"Apple"
200465.93	"HP"
30200	"2016"
98558.45	"Lenovo"
36402	"Microsoft"
37990	"MSI"
42125	"Asus"
92999	"Lenovo"
38990	"ASUS"
82861	"HP"
72000	"Lenovo"
NA	"Asus"
NA	"Dell"
NA	"New"
NA	"Dell"
NA	"Acer"
NA	"Lenovo"
NA	"Asus"
NA	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
101065	"HP"
62589	"Asus"
53985	"Dell"
98990	"Dell"
91990	"HP"
84220	"HP"
54731	"HP"
165352.33	"Lenovo"
42099	"Dell"
106559	"2017"
98038	"Acer"
38990	"Dell"
82861	"HP"
72000	"ACER"
NA	"Dell"
NA	"Acer"
NA	"Dell"
NA	"HP"
NA	"HP"
NA	"Lenovo"
NA	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
43890	"LENOVO"
37990	"Dell"
26392	"Lenovo"
28950	"HP"
65499	"Asus"
49000	"HP"
29999	"(CERTIFIED"
49900	"ASUS"
36866	"Lenovo"
41069	"Lenovo"
32547	"Dell"
79999	"Lenovo"
38990	"HP"
82861	"Lenovo"
72000	"2016"
NA	"Lenovo"
NA	"Dell"
NA	"Lenovo"
NA	"HP"
NA	"Acer"
NA	"Acer"
28980	"Dell"
39980	"Dell"
21485	"Dell"
32547	"Acer"
79999	"Acer"
150915	"MSI"
59227	"HP"
30710	"Dell"
79320	"Lenovo"
79551	"2017"
85776	"AGB"
79891.05	"HP"
33000	"Dell"
38990	"Alienware"
82861	"Dell"
72000	"Acer"
NA	"HP"
NA	"HP"
NA	"LENOVO"
NA	"Dell"
NA	"Lenovo"
NA	"Dell"
NA	"Acer"
NA	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
78640	"Microsoft"
87636	"2017"
79699	"MSI"
34611	"2017"
24827	"Asus"
26392	"Lenovo"
70660	"Lenovo"
69630	"(CERTIFIED"
109412	"Lenovo"
88499	"Dell"
69419	"HP"
121186	"Dell"
115881.38	"HP"
50064	"Samsung"
38990	"Lenovo"
82861	"Lenovo"
72000	"Acer"
NA	"HP"
NA	"Asus"
NA	"2017"
NA	"Lenovo"
28980	"Dell"
39980	"Dell"
21485	"Dell"
220896	"Azom"
193500	"Dell"
108116.77	"MSI"
91545	"HP"
46299	"Dell"
104673	"ASUS"
113990	"Dell"
82013	"Lenovo"
40956	"HP"
21990	"LG"
83082	"Dell"
38990	"Lenovo"
82861	"Dell"
72000	"Premium"
NA	"Newest"
NA	"Dell"
NA	"Dell"
NA	"HP"
NA	"Asus"
NA	"HP"
NA	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
72450	"HP"
83999	"HP"
65966	"AGB"
79550	"ASUS"
32371	"Dell"
121427	"AGB"
70777	"Dell"
74558	"HP"
73190	"Lenovo"
55757	"HP"
88774	"HP"
36900	"2016"
61990	"AGB"
89000	"2016"
40842	"2017"
71697	"HP"
38990	"HP"
82861	"ASUS"
72000	"Dell"
NA	"2017"
NA	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
85370	"Lenovo"
95531	"IP"
74000	"Dell"
151126	"Lenovo"
32986	"2017"
73350	"Lenovo"
61449	"AGB"
42095	"Asus"
61562	"2017"
174999	"AGB"
50000	"HP"
48766	"HP"
38990	"HP"
82861	"Acer"
72000	"Acer"
NA	"Dell"
NA	"Asus"
NA	"Lenovo"
NA	"Lenovo"
NA	"Dell"
NA	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
56990	"HP"
40000	"ASUS"
67142	"DELL"
58364	"2017"
79758	"2017"
30999	"HP"
72590	"Lenovo"
92190	"Acer"
83991	"Dell"
28100	"HP"
63246	"HP"
45640	"2017"
70443	"ASUS"
27799	"HP"
38990	"Dell"
82861	"Dell"
72000	"Dell"
NA	"Acer"
NA	"HP"
NA	"Asus"
NA	"(CERTIFIED"
28980	"Dell"
39980	"Dell"
21485	"Dell"
27799	"(CERTIFIED"
53999	"IP"
87636	"HP"
46948	"Lenovo"
97490	"Lenovo"
52341	"2017"
30818	"HP"
135617	"Lenovo"
44999	"Lenovo-T470/20HES44K00/Windows"
53650	"Lenovo"
61450	"2017"
70328	"Dell"
95150	"Premium"
46990	"Acer"
38679	"HP"
78528	"Lenovo"
38990	"Asus"
82861	"Dell"
72000	"HP"
NA	"HP"
NA	"Premium"
28980	"Dell"
39980	"Dell"
21485	"Dell"
72835	"Newest"
41964	"Lenovo"
61450	"Asus"
20500	"Acer"
67255	"Acer"
70558	"Newest"
59500	"Lenovo"
103142	"HP"
113145	"Microsoft"
64978	"ASUS"
78528	"Asus"
49652	"Asus"
88774	"Lenovo"
399	"Newest"
58351	"2017"
62499	"Edition"
38990	"2017"
82861	"Kbs"
72000	"Dell"
NA	"Latest"
NA	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
62499	"Latest"
67500	"HP"
71619	"AGB"
105852	"2017"
35571	"2017"
22800	"ASUS"
60583	"HP"
112951	"Lenovo"
38232	"Acer"
30380	"2016"
122874.59	"HP"
50177	"Lenovo"
88263	"Lenovo"
33499	"ASUS"
35583	"Lenovo"
91542	"Newest"
32986	"Dell"
38990	"Reach"
82861	"HP"
72000	"Newest"
NA	"2017"
28980	"Dell"
39980	"Dell"
21485	"Dell"
43176.43	"Samsung"
84220	"Lenovo"
78063	"ASUS"
97990	"HP"
82000	"Lenovo"
52929	"ASUS"
138163	"Dell"
203852	"Dell"
84220	"Alienware"
58000	"2017"
57009	"Lenovo"
57290	"HP"
122071	"DELL"
46649	"Dell"
78528	"Dell"
87000	"2017"
38990	"2017"
82861	"HP"
72000	"Dell"
NA	"Acer"
NA	"Acer"
28980	"Dell"
39980	"Dell"
21485	"Dell"
87636	"2017"
64865	"2017"
49500	"HP"
100671	"Dell"
86497	"HP"
148290	"2017"
60325	"Alienware"
61450	"2017"
105738	"2017"
115700	"2017"
81386	"Asus"
113810	"Vostro"
95120	"Latest"
75000	"Dell"
93908.1	"Dell"
27543	"Dell"
98038	"Newest"
81800	"Lenovo"
20819.91	"Lenovo"
38990	"Dell"
82861	"Acer"
28980	"Dell"
39980	"Dell"
21485	"Dell"
112796	"Asus"
39385	"Lenovo"
67999	"HP"
43900	"Dell"
46649	"Lenovo"
72379	"Dell"
55991	"2017"
60605	"Newest"
58507	"2017"
128113	"HP"
25017	"HP"
70946	"Lenovo"
54618	"Lenovo"
38600	"2017"
148252	"HP"
69419	"HP"
69419	"Lenovo"
38990	"Acer"
82861	"HP"
72000	"Newest"
NA	"2017"
28980	"Dell"
39980	"Dell"
21485	"Dell"
69419	"Newest"
69419	"2017"
46649	"HP"
38223	"HP"
67255	"Asus"
61562	"2017"
37155.38	"2017"
47558	"Dell"
85714	"Acer"
49039	"2016"
84997	"Dell"
55413	"Lenovo"
95605	"HP"
68281	"2017"
2699	"2017"
63726	"2017"
39371	"Lenovo"
109267	"Gauge"
38990	"2017"
82861	"2016"
72000	"HP"
28980	"Dell"
39980	"Dell"
21485	"Dell"
60312	"2017"
46649	"HP"
70499	"Dell"
53480	"Dell"
59173	"Premium"
56889	"2017"
97887	"2017"
84197	"2017"
88999	"2017"
48999	"2016"
68065	"Toshiba"
104171	"Asus"
128213	"Lenovo"
41046	"Dell"
38775	"2016"
49607	"2017"
38990	"HP"
82861	"Samsung"
72000	"2017"
NA	"LENOVO"
NA	"DELL"
28980	"Dell"
39980	"Dell"
21485	"Dell"
71809	"Newest"
114390	"Dell"
52860	"Lenovo"
60895	"Dell"
40956	"2017"
59318	"HP"
105852	"Dell"
57899	"Dell"
37710	"Lenovo"
29561	"2017Â Flagship"
46649	"2017"
75112	"2017"
